timestamp_board_ms,timestamp_server_ms,seq_id,lat,lon,alt_m,rssi_dbm,gnss_fix_type,hpl_m
766,1646,1001,51.107873,17.039483,119.6,-88,4,2.06
1173,1623,1002,51.107871,17.039496,118.9,-98,4,2.42
1554,2511,1003,51.107888,17.039513,120.8,-77,3,3.82
1977,2551,1008,51.107898,17.039538,119.4,-84,3,3.17
2386,2912,1009,51.107897,17.039554,118.5,-100,4,4.18
2793,4102,1010,51.107916,17.039556,119.6,-87,4,2.83
3172,4133,1012,51.107932,17.039571,119.8,-84,4,2.22
3526,4638,1013,51.107932,17.0396,120.2,-90,4,4.19
3936,4595,1014,51.107957,17.039587,120.7,-88,4,3.48
4340,5113,1016,51.107947,17.03963,121.8,-76,4,2.42
4744,5704,1017,51.107968,17.039637,119.2,-86,4,2.89
5172,5923,1018,51.107972,17.03966,119.0,-93,4,4.72
5492,6379,1020,51.107983,17.03967,118.4,-91,4,4.83
5899,6681,1021,51.107995,17.039683,122.0,-99,4,2.11
6336,6857,1023,51.108021,17.039692,120.1,-88,4,3.66
6757,7421,1024,51.108015,17.039709,120.3,-88,4,4.45
7180,8090,1025,51.10802,17.039722,119.8,-95,4,4.43
7592,7973,1026,51.108042,17.039758,120.3,-87,4,2.63
7940,8769,1027,51.108046,17.039765,120.4,-84,3,2.84
8367,9114,1028,51.108064,17.039765,119.1,-86,4,3.12
8771,9567,1029,51.108065,17.03978,120.9,-96,4,4.23
9239,10075,1030,51.108063,17.039802,120.7,-87,4,3.46
9679,10816,1031,51.108089,17.039818,120.2,-91,4,3.72
10088,11019,1032,51.108098,17.039825,119.5,-90,4,3.72
10418,11156,1033,51.108102,17.039853,119.1,-84,4,2.21
10792,11379,1034,51.108111,17.039849,120.4,-85,3,4.13
11211,11731,1035,51.108129,17.039879,119.7,-95,3,3.19
11574,12721,1036,51.108136,17.039896,118.5,-89,4,2.12
11957,12966,1037,51.108149,17.039921,119.4,-90,4,2.58
12357,13270,1042,51.10815,17.039917,121.3,-84,4,3.32
12710,13431,1044,51.10817,17.039951,119.6,-89,4,3.97
13148,14717,1047,51.108181,17.039927,119.2,-109,2,7.17
13535,16144,1050,51.108191,17.039973,120.1,-111,2,14.21
13945,18128,1051,51.108203,17.039987,120.4,-108,3,7.54
14360,18895,1052,51.108198,17.039999,119.7,-116,2,10.53
14725,20881,1053,51.108225,17.040005,121.1,-118,2,11.95
15122,16893,1054,51.108229,17.040041,120.4,-111,2,12.82
15501,20320,1056,51.108231,17.040043,120.7,-102,3,7.24
15921,17913,1057,51.108244,17.040051,121.7,-110,3,12.88
16357,17527,1058,51.10826,17.040067,120.0,-107,3,7.09
16786,18983,1059,51.108262,17.040081,120.2,-116,2,15.14
17170,18233,1061,51.108276,17.0401,120.4,-121,3,16.36
17517,22076,1062,51.1083,17.040112,119.1,-112,2,14.46
17899,18879,1063,51.108299,17.04014,120.9,-102,3,15.87
18282,18830,1064,51.108298,17.040148,120.3,-111,2,15.63
18676,21523,1065,51.108317,17.040156,121.2,-114,2,8.6
19071,20744,1066,51.108319,17.040167,119.6,-113,2,13.76
19431,20941,1067,51.108335,17.040181,120.5,-114,2,10.93
19853,25673,1071,51.108344,17.040207,119.8,-107,3,6.54
20201,25608,1072,51.108365,17.040223,120.0,-112,2,9.28
20591,21510,1073,51.108369,17.040231,119.8,-120,3,13.42
21037,23609,1074,51.108376,17.040251,120.8,-104,3,12.73
21478,23377,1078,51.108389,17.040268,120.2,-105,3,13.41
21851,24424,1079,51.108409,17.040285,118.5,-109,2,16.93
22245,27870,1080,51.10841,17.040286,121.0,-109,2,6.55
22590,26744,1081,51.108431,17.040306,120.4,-125,3,10.8
23019,25102,1082,51.108425,17.040324,120.8,-109,3,8.69
23420,25210,1083,51.108439,17.040333,119.1,-124,3,7.54
23799,26527,1087,51.108443,17.040354,119.5,-112,3,14.98
24270,26261,1088,51.108437,17.04038,119.2,-115,3,6.44
24762,29460,1089,51.108457,17.040382,118.9,-112,2,8.91
25115,27831,1091,51.108458,17.040424,119.5,-114,2,13.79
25577,31106,1092,51.108494,17.040407,120.5,-124,2,16.8
25991,28126,1093,51.108477,17.040439,120.1,-113,3,7.05
26369,28112,1096,51.108507,17.040455,119.4,-108,3,12.86
26746,27558,1097,51.108515,17.040468,118.7,-121,2,13.33
27172,28045,1102,51.108508,17.040483,119.2,-116,2,12.59
27605,31418,1106,51.108554,17.040494,120.1,-116,2,10.19
28007,30192,1107,51.108547,17.040504,119.7,-104,2,15.54
28426,29532,1109,51.10856,17.040537,119.7,-113,3,14.2
28847,37876,1110,51.108552,17.040532,120.0,-100,2,10.7
29178,34846,1111,51.108568,17.040553,120.8,-104,3,8.0
29602,34001,1112,51.108588,17.040581,120.0,-114,2,14.57
29993,31327,1114,51.108598,17.04059,121.1,-114,2,14.67
30344,33184,1115,51.108601,17.040591,118.1,-118,3,13.0
30752,31973,1116,51.108616,17.040614,120.6,-97,2,16.47
31158,34287,1117,51.108616,17.040629,120.1,-110,3,11.09
31528,33753,1118,51.108644,17.040642,119.7,-111,3,10.79
31953,32549,1119,51.10865,17.040646,119.8,-113,2,14.85
32345,34382,1120,51.108655,17.040688,120.9,-128,3,10.35
32758,35178,1122,51.108652,17.040683,119.3,-98,3,12.42
33117,33879,1123,51.108684,17.040712,119.7,-115,2,13.5
33548,34864,1124,51.108701,17.040715,120.2,-97,2,11.96
33951,36100,1125,51.108693,17.040731,120.8,-108,2,15.61
34327,35977,1126,51.108706,17.040749,120.8,-96,2,12.83
34764,37852,1127,51.108707,17.040774,120.6,-113,2,7.04
35205,39469,1128,51.108731,17.040775,119.9,-110,2,15.9
35640,37245,1129,51.108732,17.04079,120.2,-106,2,17.69
36039,38970,1130,51.108734,17.040802,121.3,-112,2,14.9
36408,43707,1131,51.108764,17.040823,121.1,-105,3,12.36
36838,40024,1133,51.108773,17.040823,119.0,-110,3,13.98
37227,39930,1134,51.10878,17.040864,119.3,-120,2,9.46
37598,49243,1135,51.108786,17.040863,120.1,-109,3,8.58
37947,42286,1136,51.108797,17.040899,120.0,-114,2,14.74
38368,40080,1137,51.108813,17.040892,119.8,-108,2,13.08
38728,40823,1138,51.108816,17.040923,120.8,-105,3,15.68
39125,40010,1139,51.108827,17.040919,120.8,-109,2,12.82
39558,41844,1140,51.108842,17.040932,120.4,-114,3,6.44
39960,44368,1143,51.108835,17.040974,120.4,-124,3,15.65
40280,43998,1144,51.108863,17.040978,119.9,-113,2,17.88
40716,42308,1147,51.108845,17.040975,118.6,-115,3,16.48
41103,43129,1148,51.108868,17.041003,120.2,-120,2,8.8
41470,45084,1149,51.108878,17.041036,119.5,-112,3,17.34
41865,43480,1154,51.1089,17.041032,119.6,-114,3,7.44
42245,47143,1157,51.1089,17.041044,120.5,-103,3,7.85
42715,46927,1158,51.108916,17.041067,120.9,-117,3,9.19
43109,44595,1159,51.108919,17.041074,120.2,-120,3,11.95
43404,44827,1160,51.108938,17.04108,120.4,-104,2,14.14
43821,48488,1161,51.108949,17.041119,120.5,-107,3,14.16
44219,47569,1165,51.10896,17.041136,120.3,-115,3,6.01
44638,45409,1166,51.108958,17.041135,119.5,-113,2,15.82
45035,47872,1168,51.108976,17.041149,120.2,-108,2,17.25
45424,48089,1169,51.108993,17.041171,119.6,-122,3,6.55
45810,50528,1173,51.109001,17.041188,120.0,-115,2,7.91
46223,47998,1175,51.109011,17.041188,120.7,-118,2,14.17
46616,47821,1176,51.10902,17.04122,119.8,-112,3,10.77
46978,52685,1177,51.109034,17.041231,120.4,-112,3,8.23
47391,50846,1178,51.109038,17.041253,120.4,-117,2,17.05
47770,54841,1179,51.109034,17.041265,119.5,-112,2,12.98
48161,50524,1180,51.109049,17.041281,119.1,-113,2,13.2
48531,50863,1181,51.109056,17.041286,120.0,-112,3,14.43
48904,51358,1182,51.109074,17.041305,119.1,-113,2,10.76
49286,52669,1183,51.109092,17.041318,119.5,-103,2,17.23
49697,53309,1184,51.109104,17.041334,120.8,-115,3,6.96
50159,51746,1185,51.109107,17.041343,119.6,-101,2,6.72
50528,52274,1186,51.109124,17.041356,120.6,-108,2,12.66
50929,53508,1187,51.109117,17.041376,118.7,-108,2,6.37
51356,55408,1188,51.109128,17.041381,121.6,-123,2,17.85
51788,54133,1189,51.109152,17.04142,121.1,-113,2,13.11
