timestamp_board_ms,timestamp_server_ms,seq_id,lat,lon,alt_m,rssi_dbm,gnss_fix_type,hpl_m
407,598,1001,51.107865,17.039488,119.9,-89,4,1.85
805,917,1002,51.107907,17.039481,120.4,-75,4,2.14
1215,1315,1003,51.107961,17.039512,120.0,-77,4,1.48
1637,1776,1004,51.107848,17.039538,120.2,-68,4,1.74
2034,2164,1005,51.10792,17.039484,120.2,-97,4,1.95
2430,2546,1006,51.108017,17.039525,119.8,-77,4,1.47
2854,3038,1007,51.10806,17.039474,120.3,-82,4,1.47
3266,3471,1008,51.108068,17.039597,120.4,-90,4,1.25
3659,3804,1009,51.108078,17.03961,120.0,-66,4,1.89
4067,4319,1010,51.108057,17.039708,120.7,-80,4,1.76
4460,4548,1013,51.108015,17.039651,120.5,-82,3,5.43
4853,4982,1014,51.108074,17.039617,120.7,-78,3,3.98
5256,5361,1015,51.108,17.039648,120.1,-95,4,0.9
5628,5694,1016,51.108182,17.039695,120.4,-91,4,0.81
6002,6137,1017,51.108092,17.039695,120.8,-84,4,1.54
6393,6526,1018,51.108123,17.039726,120.3,-79,4,1.38
6778,7034,1019,51.10822,17.039729,120.6,-71,4,1.91
7183,7363,1020,51.108103,17.03971,120.8,-89,3,5.06
7569,7661,1021,51.10814,17.039709,120.3,-90,4,2.11
7948,8241,1022,51.10823,17.039719,120.5,-77,4,1.07
8370,8598,1023,51.108259,17.039715,121.1,-83,4,2.19
8767,8943,1024,51.108246,17.03972,120.9,-97,3,6.14
9168,9295,1025,51.108264,17.039879,121.1,-89,3,4.53
9546,9641,1026,51.108346,17.039806,121.0,-83,4,1.5
9938,10058,1027,51.108331,17.039804,121.5,-83,4,1.3
10340,10556,1028,51.108341,17.0398,121.1,-81,4,1.0
10723,11020,1029,51.108372,17.039859,121.3,-92,4,0.99
11128,11387,1030,51.108334,17.03991,121.0,-83,4,1.8
11519,11634,1031,51.108475,17.039899,121.2,-74,4,1.33
11915,12004,1032,51.108267,17.039921,121.3,-105,4,2.15
12306,12454,1033,51.108472,17.039858,121.4,-84,4,1.26
12734,12803,1034,51.108461,17.0399,121.2,-95,4,2.18
13133,13292,1035,51.108444,17.039884,121.3,-82,4,1.09
13518,13649,1036,51.108453,17.03993,121.4,-94,4,0.94
13930,14046,1037,51.108457,17.040001,121.5,-80,4,1.24
14312,14385,1038,51.108537,17.039972,121.2,-68,4,2.04
14715,14886,1039,51.108496,17.040043,121.5,-89,4,1.53
15085,15198,1040,51.108478,17.03996,121.5,-88,3,4.23
15465,15552,1041,51.108576,17.039946,121.3,-85,4,1.08
15868,16976,1042,51.108627,17.040024,121.7,-79,4,1.24
16279,16417,1043,51.108468,17.040017,121.7,-90,4,1.63
16682,16966,1044,51.108698,17.040039,122.1,-85,4,1.27
17080,17352,1045,51.108545,17.040044,121.7,-87,4,1.85
17476,17592,1046,51.108565,17.040023,121.9,-85,4,1.66
17854,17964,1047,51.108567,17.040069,121.9,-79,4,2.02
18243,18411,1048,51.108646,17.04012,122.2,-77,3,4.46
18636,18729,1049,51.108598,17.040138,121.6,-93,4,1.26
19052,19209,1050,51.108621,17.040071,121.8,-79,4,2.19
19457,19647,1051,51.108661,17.040119,121.7,-60,4,1.3
19830,20058,1052,51.108718,17.040194,121.9,-69,4,1.4
20235,20369,1053,51.108739,17.040108,121.8,-87,4,1.93
20629,20758,1054,51.108806,17.040111,121.7,-80,4,0.92
